Datum,Opis,Isplata,Uplata,Primalac/Platilac,Kategorija
13.01.2026,"Isplatagotovinena
ATM-u",3000.0,0.0,"BANCAINTESA
BEOGRADCACAK
688",💵 Gotovina (ATM)
14.01.2026,Kupovina,2500.0,0.0,"FIZIOKINETIKPR
CACAK688",🩺 Zdravstveni pregledi i analize
14.01.2026,Kupovina,1448.0,0.0,"STAMPASISTEM
DOOBEOGRAD
688",❓ Ostalo
14.01.2026,Kupovina,4634.44,0.0,"OGRANAK
APOTEKA
VIDAKOVICACAK
688",🏥 Apoteke
14.01.2026,"Isplatagotovinena
ATM-u",3000.0,0.0,"BANCAINTESA
BEOGRADCACAK
688",💵 Gotovina (ATM)
14.01.2026,"Bezgotovinskiprenos
uRSD",8105.0,0.0,"JPSRBIJAGAS
NOVISAD",📱 Računi i usluge
14.01.2026,"Bezgotovinskiprenos
uRSD",1058.0,0.0,"STAMBENA
ZAJEDNICACARA
DUSANA12",📱 Računi i usluge
14.01.2026,"Bezgotovinskiprenos
uRSD",3279.0,0.0,"A1SRBIJAD.O.O.
BEOGRAD",📱 Računi i usluge
15.01.2026,Kupovina,2335.0,0.0,"PICADORd.o.o.
CACAK688",❓ Ostalo
15.01.2026,Kupovina,4613.01,0.0,"LIDL204CACAK
ČAČAK688",🛒 Marketi
15.01.2026,Kupovina,5850.0,0.0,"KIDSBEBA09
CACAK688",👗 Odeća i obuća
15.01.2026,Kupovina,2670.0,0.0,"STKRMADAM
CACAK2688",❓ Ostalo
16.01.2026,Kupovina,2500.0,0.0,"FIZIOKINETIKPR
CACAK688",🩺 Zdravstveni pregledi i analize
16.01.2026,Kupovina,1442.37,0.0,"PRODAJA
MESOVITEROBE
KMNCACAK688",🛒 Marketi
16.01.2026,Kupovina,3040.0,0.0,"Cacak,Centar
Cacak688",❓ Ostalo
16.01.2026,Kupovina,1579.98,0.0,"LILLYAPOTEKA54
CACAK688",🏥 Apoteke
19.01.2026,"Bezgotovinskiprenos
uRSD",2835.33,0.0,"EPSADBEOGRAD
-EPSS-
KRALJEVO",📱 Računi i usluge
19.01.2026,Kupovina,2447.0,0.0,"STAMPASISTEM
DOOBEOGRAD
688",❓ Ostalo
19.01.2026,"Isplatagotovinena
ATM-u",5000.0,0.0,"BANCAINTESA
BEOGRADCACAK
688",💵 Gotovina (ATM)
19.01.2026,"Isplatagotovinena
ATM-u",5000.0,0.0,"BANCAINTESA
BEOGRADCACAK
688",💵 Gotovina (ATM)
19.01.2026,"Isplatagotovinena
ATM-u",30000.0,0.0,"BANCAINTESA
BEOGRADCACAK
688",💵 Gotovina (ATM)
20.01.2026,Kupovina,7173.84,0.0,"PRODAJA
MESOVITEROBE
KMNCACAK688",🛒 Marketi
20.01.2026,Kupovina,8689.26,0.0,"LILLYAPOTEKA
CACAKRPCACAK
688",🏥 Apoteke
20.01.2026,"Isplatagotovinena
ATM-u",3000.0,0.0,"BANCAINTESA
BEOGRADCACAK
688",💵 Gotovina (ATM)
20.01.2026,Kupovina,1569.98,0.0,"LILLYAPOTEKA54
CACAK688",🏥 Apoteke
21.01.2026,Kupovina,5534.2,0.0,"DMFILIJALAJ073
CACAK688",❓ Ostalo
21.01.2026,Kupovina,2509.0,0.0,"BEAUTY
CONCEPTDOO
CACAK688",❓ Ostalo
21.01.2026,Kupovina,2264.2,0.0,"PRODAJA
MESOVITEROBE
KMNCACAK688",🛒 Marketi
22.01.2026,"Bezgotovinskiprenos
uRSD",5000.0,0.0,NISA.D.NOVISAD,⛽ Gorivo
22.01.2026,Kupovina,1500.0,0.0,"FIZIOKINETIKPR
CACAK688",🩺 Zdravstveni pregledi i analize
22.01.2026,Kupovina,3000.0,0.0,"PS FASHION
CACAKCACAK688",👗 Odeća i obuća
22.01.2026,Kupovina,3194.33,0.0,"LIDL204CACAK
ČAČAK688",🛒 Marketi
22.01.2026,Kupovina,689.98,0.0,"MAXI3429ČAČAK
688",🛒 Marketi
22.01.2026,"Isplatagotovinena
ATM-u",6000.0,0.0,"BANCAINTESA
BEOGRADCACAK
688",💵 Gotovina (ATM)
23.01.2026,Kupovina,8122.13,0.0,"214-TEMPO005
CACAK688",🛒 Marketi
23.01.2026,Kupovina,290.0,0.0,"Cacak3,RPCacak
688",❓ Ostalo
23.01.2026,Kupovina,5065.4,0.0,"PRODAJA
MESOVITEROBE
Cacak688",🛒 Marketi
23.01.2026,Kupovina,550.0,0.0,"Cacak4BIGRP
&#268;a&#269;688",❓ Ostalo
23.01.2026,Kupovina,349.0,0.0,"SinsayCacak
CACAK688",❓ Ostalo
23.01.2026,Kupovina,2061.53,0.0,"OPENAI*CHATGPT
SUBSCR
OPENAI.COM840",💻 Tech i pretplate
23.01.2026,Kupovina,1015.87,0.0,"LIDL204CACAK
ČAČAK688",🛒 Marketi
23.01.2026,Kupovina,1002.98,0.0,"LILLYAPOTEKA
CACAKRPCACAK
688",🏥 Apoteke
23.01.2026,"Naplatanaknadesa
računafizičkoglica",246.0,0.0,"BANCAINTESAAD
BEOGRAD-
INTERNIRAČUN",❓ Ostalo
23.01.2026,"Naknadaza
odobravanje
prekoračenjaFL",300.0,0.0,"BANCAINTESAAD
BEOGRAD-
INTERNIRAČUN",📱 Računi i usluge
23.01.2026,"Isplatasaračuna-
prodajamenica",50.0,0.0,,🛒 Marketi
26.01.2026,"Bezgotovinskiprenos
uRSD",17000.0,0.0,"CORDIPSDOO
NOVISAD",📱 Računi i usluge
26.01.2026,Kupovina,2500.0,0.0,"FIZIOKINETIKPR
CACAK688",🩺 Zdravstveni pregledi i analize
26.01.2026,Kupovina,600.0,0.0,"BWGALERIJA
LOBBYD P1
BEOGRAD SAVS
688",❓ Ostalo
26.01.2026,"Naknadazadostavu
debitnekarticena
adresukorisnika",60.0,0.0,"BANCAINTESAAD
BEOGRAD-
INTERNIRAČUN",📱 Računi i usluge
27.01.2026,Kupovina,1500.0,0.0,"FIZIOKINETIKPR
CACAK688",🩺 Zdravstveni pregledi i analize
27.01.2026,Kupovina,2946.1,0.0,"PRODAJA
MESOVITEROBE
CACAK688",🛒 Marketi
27.01.2026,Kupovina,1448.0,0.0,"STAMPASISTEM
DOOBEOGRAD
688",❓ Ostalo
27.01.2026,Kupovina,2029.55,0.0,"APOTEKACACAK
CACAK688",🏥 Apoteke
27.01.2026,Kupovina,2265.33,0.0,"APOTEKACACAK
CACAK688",🏥 Apoteke
27.01.2026,"Bezgotovinskiprenos
uRSD",1000.0,0.0,"SuzanaJovanović,
Beograd",❓ Ostalo
28.01.2026,Kupovina,1279.98,0.0,"LILLYAPOTEKA54
CACAK688",🏥 Apoteke
28.01.2026,Kupovina,1645.85,0.0,"WoltdooBelgrade
688",🍔 Restorani i dostava
28.01.2026,"Isplatagotovinena
ATM-u",3000.0,0.0,"BANCAINTESA
BEOGRADCACAK
688",💵 Gotovina (ATM)
28.01.2026,Kupovina,4199.99,0.0,"LILLYAPOTEKA54
CACAK688",🏥 Apoteke
29.01.2026,Kupovina,2639.99,0.0,"LILLYAPOTEKA54
CACAK688",🏥 Apoteke
29.01.2026,Kupovina,1500.0,0.0,"FIZIOKINETIKPR
CACAK688",🩺 Zdravstveni pregledi i analize
29.01.2026,Kupovina,1992.0,0.0,"PS FASHION
CACAKCACAK688",👗 Odeća i obuća
29.01.2026,Kupovina,4500.0,0.0,"STRMYSTIQUE
MANCACAK688",❓ Ostalo
29.01.2026,Kupovina,1899.0,0.0,"NEWYORKER
43053CACAK688",👗 Odeća i obuća
30.01.2026,Kupovina,1500.0,0.0,"FIZIOKINETIKPR
CACAK688",🩺 Zdravstveni pregledi i analize
30.01.2026,"Isplatagotovinena
ATM-u",50000.0,0.0,"BANCAINTESA
BEOGRADCACAK
688",💵 Gotovina (ATM)
30.01.2026,Kupovina,8434.73,0.0,"LIDL141Čačak
Čačak688",🛒 Marketi
30.01.2026,Kupovina,4936.95,0.0,"TEMPOEXPRESS
005BEOGRAD688",🛒 Marketi
31.01.2026,"Naknadazamesečno
održavanjeračuna",799.0,0.0,,📱 Računi i usluge
